Species,Product ID,Product Name,Category,Current Price,Current ASIN,Amazon URL or ASIN (Fill This),Image urls
Crested Gecko,led-full-spectrum,"Arcadia LumenIZE Jungle Dawn LED Bar 12"" 18W",lighting,49.99,B0CP4FD8GX,https://www.amazon.com/dp/B0CP4FD8GX?tag=habitatbuilde-20,
Crested Gecko,timer,Zilla 24/7 Digital Power Center Timer,lighting,39.99,B0012GTRSW,https://www.amazon.com/dp/B0012GTRSW?tag=habitatbuilde-20,
Crested Gecko,bioactive-mix,Bio Dude Terra Fauna Bioactive Substrate,substrates,29.99,B07MZLXF24,https://www.amazon.com/dp/B07MZLXF24?tag=habitatbuilde-20,
Crested Gecko,cgd-repashy,Repashy Crested Gecko Diet 5.3oz,supplements,14.99,B0053IWKX4,https://www.amazon.com/dp/B0053IWKX4?tag=habitatbuilde-20,
Crested Gecko,cgd-repashy-mango,Repashy Crested Gecko Diet Mango Superblend 3oz,supplements,12.99,B0D84ZL6Q9,https://www.amazon.com/dp/B0D84ZL6Q9?tag=habitatbuilde-20,
Crested Gecko,multivitamin,Repashy Calcium Plus 3oz,supplements,16.99,B0CP4FD8GX,https://www.amazon.com/dp/B0CP4FD8GX?tag=habitatbuilde-20,
Crested Gecko,spray-bottle,Exo Terra Pressure Sprayer 2L,humidity,20.11,B004CJS7XW,https://www.amazon.com/dp/B004CJS7XW?tag=habitatbuilde-20,
Crested Gecko,hygrometer,Zoo Med Combo Digital Thermometer/Hygrometer,humidity,13.29,B07D284W96,https://www.amazon.com/dp/B07D284W96?tag=habitatbuilde-20,
Crested Gecko,sphagnum-moss,Sphagnum Moss,humidity,21.84,B09TQM4TKL,https://www.amazon.com/dp/B09TQM4TKL?tag=habitatbuilde-20,
Crested Gecko,eco-earth,Zoo Med Eco Earth Coconut Fiber,substrates,29.76,B00U67QUJM,https://www.amazon.com/dp/B00U67QUJM?tag=habitatbuilde-20,
Crested Gecko,thermostat,Inkbird ITC-306T Dimming Thermostat,heating,34.99,B07KC24CKD,https://www.amazon.com/dp/B07KC24CKD?tag=habitatbuilde-20,
Crested Gecko,shadedweller-kit,"Arcadia ShadeDweller ProT5 Kit 7% UVB 12""",uvb,49.99,B003ZG8E8G,https://www.amazon.com/dp/B003ZG8E8G?tag=habitatbuilde-20,
Crested Gecko,calcium-no-d3,Zoo Med Repti Calcium Without D3,supplements,8.99,B001OROQ8U,https://www.amazon.com/dp/B001OROQ8U?tag=habitatbuilde-20,
Crested Gecko,calcium-d3,Zoo Med Repti Calcium With D3,supplements,8.99,B0002DHPEO,https://www.amazon.com/dp/B0002DHPEO?tag=habitatbuilde-20,
Crested Gecko,cork-tube,Zoo Med Natural Cork Round Tube Large,decor,34.44,B001F9ANVG,https://www.amazon.com/dp/B001F9ANVG?tag=habitatbuilde-20,
Crested Gecko,water-dish,Zoo Med Reptile Water Dish Small,decor,19.99,B0002DJ0PQ,https://www.amazon.com/dp/B0002DJ0PQ?tag=habitatbuilde-20,
Crested Gecko,temp-gun,Etekcity Infrared Temperature Gun,monitoring,16.99,B0B71HFH9K,https://www.amazon.com/dp/B0B71HFH9K?tag=habitatbuilde-20,
Crested Gecko,coconut-hide,Exo Terra Coco Hut Coconut Hide,decor,23.99,B09J1QQSQF,https://www.amazon.com/dp/B09J1QQSQF?tag=habitatbuilde-20,
Crested Gecko,live-plants,Costa Farms Golden Pothos Live Plant,decor,19.97,B07TTJNM89,https://www.amazon.com/dp/B07TTJNM89?tag=habitatbuilde-20,
Crested Gecko,calcium-lod,Repashy Calcium Plus LoD 3oz,supplements,15.99,B0D6SP118Q,https://www.amazon.com/dp/B0D6SP118Q?tag=habitatbuilde-20,
Crested Gecko,climbing-vines,PINVNBY Artificial Terrarium Climbing Vines,decor,19.89,B0D9RM3S47,https://www.amazon.com/dp/B0D9RM3S47?tag=habitatbuilde-20,
Crested Gecko,cgd-pangea,Pangea Gecko Diet with Fig & Insects 2oz,supplements,9.99,B07K1KH7J9,https://www.amazon.com/dp/B07K1KH7J9?tag=habitatbuilde-20,
Ball Python,zen-4x2x2,Zen Habitats 4x2x2 Reptile Enclosure 3.0 (PVC),enclosures,349.99,B0DHYNB46R,https://www.amazon.com/dp/B0DHYNB46R?tag=habitatbuilde-20,
Ball Python,heat-mat,"Fluker's Premium Heat Mat Large 17""x11""",heating,24.99,B00164PW9S,https://www.amazon.com/dp/B00164PW9S?tag=habitatbuilde-20,
Ball Python,climbing-branch,Zoo Med Natural Cork Round Tube Extra Large,hides,34.44,B001F9ANVG,https://www.amazon.com/dp/B001F9ANVG?tag=habitatbuilde-20,
Crested Gecko,feeding-ledge,Pangea Ultimate Gecko Ledge Magnetic,decor,14.99,B00B5I7CO8,https://www.amazon.com/dp/B00B5I7CO8?tag=habitatbuilde-20,
Crested Gecko,feeding-cups,Pangea Small 0.5oz Paper Gecko Feeding Cups 100ct,decor,9.99,B07PNCSLBN,https://www.amazon.com/dp/B07PNCSLBN?tag=habitatbuilde-20,
Crested Gecko,fake-plants,SLSON Reptile Artificial Hanging Plants,decor,12.99,B094J5G9DJ,https://www.amazon.com/dp/B094J5G9DJ?tag=habitatbuilde-20,
